"$R1 [mm]","$R2 [mm]","$R3 [mm]","$R4 [mm]","Freq [GHz]","dB(St(1,1)) []"
0.76,1,1.75,2,16.61,-0.95972626671024
0.76,1,1.75,2,16.62,-0.962248241614394
0.76,1,1.75,2,16.63,-0.96491101437328
0.76,1,1.75,2,16.64,-0.967715277958321
0.76,1,1.75,2,16.65,-0.970661769688374
0.76,1,1.75,2,16.66,-0.973751271209334
0.76,1,1.75,2,16.67,-0.976984608480339
0.76,1,1.75,2,16.68,-0.98036265176571
0.76,1,1.75,2,16.69,-0.983886315631603
0.76,1,1.75,2,16.7,-0.987556558946275
0.76,1,1.75,2,16.71,-0.991374384882907
0.76,1,1.75,2,16.72,-0.995340840923816
0.76,1,1.75,2,16.73,-0.999457018864789
0.76,1,1.75,2,16.74,-1.0037240548183
0.76,1,1.75,2,16.75,-1.00814312921422
0.76,1,1.75,2,16.76,-1.01271546679657
0.76,1,1.75,2,16.77,-1.01744233661491
0.76,1,1.75,2,16.78,-1.02232505200859
0.76,1,1.75,2,16.79,-1.02736497058243
0.76,1,1.75,2,16.8,-1.03256349417189
0.76,1,1.75,2,16.81,-1.03792206879586
0.76,1,1.75,2,16.82,-1.04344218459533
0.76,1,1.75,2,16.83,-1.04912537575565
0.76,1,1.75,2,16.84,-1.05497322041027
0.76,1,1.75,2,16.85,-1.06098734052384
0.76,1,1.75,2,16.86,-1.06716940175198
0.76,1,1.75,2,16.87,-1.07352111327545
0.76,1,1.75,2,16.88,-1.08004422760597
0.76,1,1.75,2,16.89,-1.08674054036078
0.76,1,1.75,2,16.9,-1.09361189000314
0.76,1,1.75,2,16.91,-1.1006601575456
0.76,1,1.75,2,16.92,-1.10788726621283
0.76,1,1.75,2,16.93,-1.11529518106045
0.76,1,1.75,2,16.94,-1.12288590854643
0.76,1,1.75,2,16.95,-1.13066149605115
0.76,1,1.75,2,16.96,-1.13862403134215
0.76,1,1.75,2,16.97,-1.14677564197959
0.76,1,1.75,2,16.98,-1.15511849465764
0.76,1,1.75,2,16.99,-1.1636547944777
0.76,1,1.75,2,17,-1.17238678414824
0.76,1,1.75,2,17.01,-1.18131674310646
0.76,1,1.75,2,17.02,-1.19044698655636
0.76,1,1.75,2,17.03,-1.19977986441782
0.76,1,1.75,2,17.04,-1.2093177601808
0.76,1,1.75,2,17.05,-1.21906308965872
0.76,1,1.75,2,17.06,-1.22901829963467
0.76,1,1.75,2,17.07,-1.23918586639391
0.76,1,1.75,2,17.08,-1.24956829413581
0.76,1,1.75,2,17.09,-1.26016811325809
0.76,1,1.75,2,17.1,-1.27098787850588
0.76,1,1.75,2,17.11,-1.28203016697802
0.76,1,1.75,2,17.12,-1.29329757598244
0.76,1,1.75,2,17.13,-1.3047927207323
